cod_station,utm_x,utm_y,precip
A001,352095,4896831,4
A002,351816,4934725,0.4
A003,346624,4959923,4.4
A004,354502,5017939,15.8
A005,414792,5081006,51.6
A006,420822,5094426,26.2
A007,332693,4985596,2.4
A008,450779,5142603,21.4
A009,319476,4997331,5.4
A010,336091,4991300,4.8
A011,337847,4986187,0.8
A012,426224,5093256,40.4
A013,413755,5019418,57
A014,458845,4947584,1.4
A015,414152,4967469,12.2
A016,441508,4964453,24.8
A017,361006,4963859,18.4
A018,403783,4901595,0.6
A019,385442,4910296,4.2
A020,373174,4980375,5.2
A021,422382,5004180,79.8
A022,381885,5016336,46
A023,452241,5031988,26.4
A024,410087,5040929,35.6
A025,476179,5044074,22.2
A026,476727,4976201,8.6
A027,446156,5105927,65
A028,461092,4997958,15.8
A029,402828,4988482,75.2
A030,515945,4947126,0
A031,423980,4892286,1.6
A032,420668,5053282,102.2
A033,404848,5036493,30.6
A034,375704,5033193,18.6
A035,352702,4909786,1.4
A036,463454,4929755,13.8
A037,437878,5122296,27.2
A038,455744,5109311,71.2
A039,458054,5059749,54.2
A040,407716,4975370,23
A041,443670,5074457,44.2
A042,339567,4927939,1.8
A043,441174,4934872,2.8
A044,427006,4909165,5.6
A045,422019,4932623,10
A046,437873,4970662,30.4
A047,429242,4984323,15.8
A048,380628,4935110,8
A049,481677,4934651,55
A050,373774,4994834,15
A051,361958,4997582,22.4
A052,347088,5000758,10.4
A053,340117,4998152,6.8
A054,340068,5000850,4.2
A055,334301,4993216,2.6
A056,329988,4990162,3.6
A057,320334,4994017,0.6
A058,443114,5129624,21.2
A059,447933,5119640,27.8
A060,436556,5108355,34.8
A061,335756,4973540,3.4
A062,466641,5105305,23.8
A063,431711,5104080,31.2
A064,434710,5093118,59.2
A065,438822,4982122,18.4
A066,453465,4985357,20.6
A067,465907,4982455,4.2
A068,453525,4969048,19
A069,403991,4977715,34.8
A070,426444,5084376,37
A071,423601,5069104,41.2
A072,439458,5058321,47.2
A073,433695,5058489,37.6
A074,418813,5060264,46.4
A075,396316,4971343,35
A076,452237,5019386,31.4
A077,441949,5045398,47.6
A078,429680,4898688,0
A079,427500,4966004,13
A080,448319,4957203,10.8
A081,421859,4996460,36.6
A082,443245,4993811,21.4
A083,474833,4956759,1
A084,490646,4947889,88.4
A085,487962,4963974,3.6
A086,494634,4960771,38.2
A087,488564,4985460,10.4
A088,501905,4947444,2.8
A089,480884,4959362,5
A090,502476,4961288,5.8
A091,490535,4937821,61.2
A092,492695,4956060,68.4
A093,471188,4944033,1.4
A094,451556,4930821,3.6
A095,424479,5031426,63.8
A096,447287,4935480,7.6
A097,354620,5036811,11.6
A098,388706,5045997,31.4
A099,399204,5042642,61
A100,407006,5041287,66.6
A101,329829,4973144,3.4
A102,459757,4933690,5.4
A103,444625,4940132,2.2
A104,383959,5023497,28.4
A105,435529,4927156,9.2
A106,395441,5015494,30.2
A107,395596,4985890,42
A108,367642,5019242,11.2
A109,361004,5024732,8
A110,361575,5000935,17.4
A111,392460,4998970,32.4
A112,325119,4976764,3
A113,341798,5006429,7.8
A114,361760,4989322,4.2
A115,337795,4983288,1.6
A116,332444,4979926,1.2
A117,346730,4974411,0
A118,348435,4989063,7.8
A119,365228,4978893,14.4
A120,398228,4979528,116
A121,411791,4988907,46.2
A122,355142,4978853,0
A123,362370,4947015,19.8
A124,375630,4988307,8.4
A125,429922,4959859,21.8
A126,386845,4954671,24.8
A127,345555,4941889,0.4
A128,372489,5066184,27.8
A129,354208,4918133,5.8
A130,371391,4898519,5
A131,335978,4918048,3.2
A132,361709,4896272,17
A133,392534,5066380,34
A134,459016,4924790,10.6
A135,483932,4949150,12.2
A136,393085,4898867,2.2
A137,398111,4887247,0
A138,398757,4894142,0.4
A139,406884,4897585,0.2
A140,412659,4904107,0
A141,414855,4895385,0
A142,429031,4914348,3.4
A143,405350,4916698,15
A144,418603,4928137,4.8
A145,409096,4950597,8
A146,423075,4958076,5.6
A147,432530,4951081,17
A148,427326,4947726,3.6
A149,433557,4929030,2.8
A150,403729,4932637,3.2
A151,424991,4943560,6
A152,434957,4917579,3
A153,462213,5082028,50.6
A154,429551,4933078,4.4
A155,421386,4936815,7.8
A156,414707,4956203,8.8
A157,512080,4951835,0
A158,456129,5133034,28.2
A159,456225,5117160,44.4
A160,419334,5091685,39.6
A161,476204,5101570,16.2
A162,460716,5094778,48.6
A163,373632,4923430,10.6
A164,431070,5076272,40
A165,428882,5064888,57.8
A166,430102,5051091,41.8
A167,413632,5046071,48.4
A168,395253,5033160,43
A169,360163,5033606,11.2
A170,354672,5007898,22.2
A171,371184,5006333,25
A172,379872,5005760,36.2
A173,347455,4980522,2.8
A174,358034,4970850,10.8
A175,361481,4954853,6.2
A176,339936,4937921,1.8
A177,370918,4936473,6.8
A178,347840,4924337,3.8
A179,356860,4912030,0.8
A180,343935,4902986,2.6
A181,398488,4880823,0
A182,475300,5099029,18.4
A183,426972,4921992,4.8
A184,381427,4963366,19
A185,409882,5004010,87
A186,468063,5031113,24.4
A187,411221,4924307,9.2
A188,366665,4918908,2.6
A189,408890,5076090,40.2
A190,371116,5076358,35.8
A191,374621,5050540,31.2
A192,495830,4934073,1
A193,472982,4936010,4.4
A194,442673,4915502,0.4
A195,340981,5063942,7.2
A196,442551,5065261,58.6
A197,381063,5014078,90.4
A198,364487,4971847,7.2
A199,545279,4958053,0.6
A200,386008,5018529,27.4
A201,423047,4950863,3.2
A202,412790,4930094,5.8
A203,434800,5082809,40.4
A204,440818,5078628,64.4
A205,464790,5046697,10.4
A206,443240,5094961,64.2
A207,397112,4991946,45
A208,455291,5091605,28.8
A209,457172,5081082,58
A210,454003,5101241,78
A211,446665,5084060,45.8
A212,465093,5085916,42.6
A213,437588,5114118,30
A214,515657,4964208,0
A215,515392,4973619,0
A216,519209,4958571,0
A217,480211,5094145,30.4
A218,467283,5069724,27.4
A219,472016,5084442,52.6
A220,499166,5014491,0.2
A221,488480,5091115,28
A222,485038,5059760,20.4
A223,486156,5066278,40.8
A224,476584,5010609,51.2
A225,488151,5044094,23.2
A226,480051,5084732,44.8
A227,491502,5077175,17.8
A228,490641,5020699,31
A229,527101,4926600,7.6
A230,516556,4930329,3.8
A231,512365,4928438,1.4
A232,531772,4973679,2
A233,519541,5035782,25.8
A234,470407,5084041,48.6
A235,550095,4960619,0
A236,538298,4937950,0
A237,545953,4943647,0
A238,556148,4956904,0
A239,532383,4943565,2
A240,484116,4996240,19.6
A241,486271,5052710,25.6
A242,486299,5075301,38.6
A243,501379,4983012,3.2
A244,518758,4939746,3
A245,538855,4969953,0.6
A246,553491,4964412,0
A247,526365,4966125,0
A248,561402,4956952,1
A249,519310,4924690,9.2
A250,557444,4964446,0
A251,554255,4949358,0
A252,539416,4964310,0
A253,522011,4935992,1.6
A254,547380,4949496,0
A255,535529,4932287,0
A256,539653,4943605,0.2
A257,510911,5018499,3.4
A258,520118,5038367,13.4
A259,516097,5043110,11
A260,538217,5038466,0
A261,514203,4961808,0
A262,389764,4932725,0
A263,343178,5075812,14.2
A264,340864,5069401,9.8
A265,435061,4955861,15.4
A266,342193,5064835,8
A267,346042,5073407,19.2
A268,347089,5081287,19.2
A269,337727,5061120,14
A270,466585,4922864,4.2
A271,511894,5003761,0.8
A272,341793,4919440,2.6
A273,514956,4940241,3
A274,379312,4894654,4.6
A275,447480,5009461,51
A276,458123,5113049,69.2
A277,426445,5045652,33
A278,407466,5026023,30.6
A279,450752,5076235,48.4
A280,375704,5021638,28.4
A281,360992,4929871,4.8
A282,365481,4908591,0.4
A283,348294,4934502,1
A284,409921,5015808,62.8
A285,451503,5128211,18.4
A286,366881,4891327,21.4
A287,364567,5009893,15.6
A288,448135,5054747,48
A289,351790,4950356,7.4
A290,423210,5081369,32.8
A291,453196,4917300,0
A292,379371,4943428,17.6
A293,386141,5029706,59
A294,471170,5058127,18.2
A295,351091,4964711,4.8
A296,436589,4904264,0.2
A297,444192,4904195,0
A298,506175,4935957,2
A299,409472,4885763,2.8
A300,432952,4906183,0
A301,331991,5070560,12.8
A302,349915,5083135,16.8
A303,356850,5076908,28.8
A304,368218,5082478,30.6
A305,382973,5073325,34.6
A306,370379,5049553,25
A307,410936,5053543,40.4
A308,329444,4981815,1.8
A309,393147,5077893,41.4
A310,387168,5052194,39.8
A311,348237,5053168,7.6
A312,406046,5030506,23.4
A313,428083,5057024,44
A314,433921,5125172,24.4
A315,384371,4916196,2
A316,435781,4898625,0
A317,333556,4979878,2.8
A318,394093,5004633,44.4
A319,323132,4988527,1.8
A320,412336,5000464,71.8
A321,391476,4906152,7.2
A322,418148,5046913,53
A323,381912,5041306,27.2
A324,395961,4919317,2.8
A325,499447,4959186,26
A326,484546,5029197,42.6
A327,461722,5075088,89
A328,439310,4947239,12.4
A329,335258,4981370,3.2
A330,319383,4992738,0.4
A331,382741,4914224,1.6
A332,396335,4971359,35.6
A333,408692,5066969,42.8
A334,356133,5056984,19.8
A335,363786,5056816,23.8
A336,410705,5078465,47
A337,411019,5060138,36
A338,397138,5051162,41.8
A339,383024,5060488,45.6
A340,438833,5118446,20.8
A341,392103,5060011,37.2
A342,396054,4992433,41.4
A343,370552,4973026,5.8
A344,417577,4913468,4.8
A345,407216,4903242,0.4
A346,395535,4996506,44
A347,381736,4902250,3.6
A348,375159,4905569,3.8
A349,349677,4907422,1.8
A350,381938,4993117,19.4
A351,416610,4904372,0
A352,399915,4907260,1.4
A353,333703,4931975,2.6
A354,339885,4949696,3.4
A355,360677,5018290,11.2
A356,507377,4946916,0
A357,368058,5034971,17.6
A358,356046,5013564,15.4
A359,480616,4939369,90
A360,338644,5009846,9.8
A361,456546,5069173,32.4
A362,454220,5080460,0
A363,462140,5066473,38.6
A364,324349,5000119,4.2
A365,376375,5032521,21.6
A366,465851,4959096,0.2
A367,463782,5089947,26.6
A368,371673,5010080,18
A369,421761,4915442,7
A370,399568,4947072,5.4
A371,362475,4949299,16.4
A372,471388,5032237,17.4
A373,436154,4974320,8.6
A374,416001,4985910,16.6
A375,372945,5049915,29.2
A376,368343,5058342,34
A377,381936,5055786,44.8
A378,398830,5070678,35
A379,447736,5066833,67.8
A380,387341,4890901,2
A381,416151,5089413,44.6
A382,353800,4951471,5.4
A383,400189,5080783,40.8
A384,483451,4943500,53.2
