cod_station,utm_x,utm_y,precip
B01,413755,5019418,1.6
B02,414152,4967469,0
B03,373174,4980375,0.4
B04,422382,5004180,0
B05,381885,5016336,10.4
B06,402828,4988482,10.4
B07,407716,4975370,1
B08,429242,4984323,0
B09,373774,4994834,4.2
B10,403991,4977715,1
B11,396316,4971343,0.8
B12,427500,4966004,0
B13,421859,4996460,0
B14,395441,5015494,11.8
B15,395596,4985890,3.8
B16,392460,4998970,9
B17,398228,4979528,10.6
B18,411791,4988907,0
B19,375630,4988307,1.8
B20,414707,4956203,0
B21,371184,5006333,9.8
B22,379872,5005760,18
B23,381427,4963366,0.2
B24,409882,5004010,8.2
B25,381063,5014078,16.8
B26,386008,5018529,7.6
B27,397112,4991946,13.2
B28,409921,5015808,2.6
B29,394093,5004633,10
B30,412336,5000464,0.6
B31,396054,4992433,6.6
B32,370552,4973026,0.2
B33,395535,4996506,8.2
B34,381938,4993117,4
B35,416001,4985910,0
