cod_station,utm_x,utm_y,precip
C001,352095,4896831,0.2
C002,351816,4934725,0
C003,346624,4959923,0
C004,354502,5017939,0.4
C005,414792,5081006,1
C006,420822,5094426,0.2
C007,332693,4985596,1
C008,450779,5142603,0
C009,319476,4997331,0
C010,336091,4991300,0.8
C011,337847,4986187,0
C012,426224,5093256,0.2
C013,413755,5019418,10.8
C014,458845,4947584,0
C015,414152,4967469,0
C016,441508,4964453,0
C017,361006,4963859,0
C018,403783,4901595,0
C019,385442,4910296,0
C020,373174,4980375,0
C021,422382,5004180,1.2
C022,381885,5016336,1.8
C023,452241,5031988,0.4
C024,410087,5040929,1.4
C025,476179,5044074,0
C026,476727,4976201,0
C027,446156,5105927,0
C028,461092,4997958,0
C029,402828,4988482,27.8
C030,515945,4947126,0
C031,423980,4892286,0
C032,420668,5053282,1
C033,404848,5036493,2
C034,375704,5033193,0
C035,352702,4909786,0
C036,463454,4929755,0
C037,437878,5122296,0.2
C038,455744,5109311,0
C039,458054,5059749,10.8
C040,407716,4975370,0.8
C041,443670,5074457,1
C042,339567,4927939,0.2
C043,441174,4934872,0
C044,427006,4909165,0
C045,422019,4932623,0
C046,437873,4970662,0
C047,429242,4984323,0
C048,380628,4935110,0.2
C049,481677,4934651,0
C050,373774,4994834,0
C051,361958,4997582,2.6
C052,347088,5000758,0.2
C053,340117,4998152,0.2
C054,340068,5000850,0.4
C055,334301,4993216,0.2
C056,329988,4990162,0
C057,320334,4994017,0
C058,443114,5129624,0
C059,447933,5119640,0
C060,436556,5108355,0.6
C061,335756,4973540,0
C062,466641,5105305,0
C063,431711,5104080,0.4
C064,434710,5093118,0.2
C065,438822,4982122,0
C066,453465,4985357,0
C067,465907,4982455,0
C068,453525,4969048,0
C069,403991,4977715,1.4
C070,426444,5084376,0
C071,423601,5069104,1.4
C072,439458,5058321,0
C073,433695,5058489,0.2
C074,418813,5060264,2.6
C075,396316,4971343,8
C076,452237,5019386,0
C077,441949,5045398,7.2
C078,429680,4898688,0
C079,427500,4966004,0
C080,448319,4957203,0
C081,421859,4996460,0.4
C082,443245,4993811,0
C083,474833,4956759,0
C084,490646,4947889,0
C085,487962,4963974,0
C086,494634,4960771,0
C087,488564,4985460,0
C088,501905,4947444,0
C089,480884,4959362,0
C090,502476,4961288,0
C091,490535,4937821,0
C092,492695,4956060,0
C093,471188,4944033,0
C094,451556,4930821,0
C095,424479,5031426,5.8
C096,447287,4935480,0
C097,354620,5036811,0.8
C098,388706,5045997,1
C099,399204,5042642,2
C100,407006,5041287,2.2
C101,329829,4973144,0
C102,459757,4933690,0
C103,444625,4940132,0
C104,383959,5023497,0.8
C105,435529,4927156,0
C106,395441,5015494,2
C107,395596,4985890,19
C108,367642,5019242,2.2
C109,361004,5024732,0
C110,361575,5000935,0.8
C111,392460,4998970,0.2
C112,325119,4976764,0.8
C113,341798,5006429,1.8
C114,361760,4989322,0
C115,337795,4983288,0
C116,332444,4979926,0.2
C117,346730,4974411,0
C118,348435,4989063,0
C119,365228,4978893,0
C120,398228,4979528,23.4
C121,411791,4988907,7.4
C122,355142,4978853,0
C123,362370,4947015,0
C124,375630,4988307,0.2
C125,429922,4959859,0
C126,386845,4954671,0
